subscription_id,user_id,plan_type,status,start_date,end_date,monthly_price
7d20ece9-c1d5-4b83-88e4-bb0a5fb8e134,bbb8732f-56b5-4303-be25-dfc9e5f17091,free_trial,cancelled,2024-08-10,2025-03-07,0.0
8ed1ce99-d88c-4640-83b1-6e8424f9d84d,0a5767b4-dd44-41b3-aefe-167c45520d5d,free_trial,expired,2024-09-05,2024-12-18,0.0
8df88c2a-3748-4b93-9902-91d6ec62a14e,1288bc43-60cf-4b71-92ee-a789a73a0d16,basic,cancelled,2025-12-17,2025-12-31,7.99
61a65b4c-a018-4fa1-a9ab-26eea9779552,807ef77f-09c5-4480-803c-2277a12c719b,basic,expired,2024-05-12,2024-06-19,7.99
fa6dd0b5-7ab6-431a-8857-cfe6d17a8c40,7e0cfbf5-85d4-4e13-854d-fd2f5003cd19,free_trial,active,2023-10-19,,0.0
2feccce4-f619-4b30-8e79-ba612a0b52f3,37043c3d-5b4e-4d04-8f19-ad0cc1fd7e2e,basic,active,2025-11-05,,7.99
8660d78e-894f-4de2-8b9e-0f71d599837a,9fd2bd35-e598-4a2b-bcb2-0c94645e309f,basic,cancelled,2025-11-11,2025-12-31,7.99
1cf4573f-d706-45be-acd6-da5b008ece1f,dfdb04c2-4123-45f3-bb48-a15223e45ade,free_trial,expired,2025-10-29,2025-12-31,0.0
b338faea-abea-45e3-bb93-a5c5d0613f1e,8b748602-2213-4283-a22c-2a2044172d39,standard,paused,2025-11-23,2025-12-31,13.99
6ae1cf31-84be-4e68-9c8e-7cd7b060ac6d,11e54984-6df2-4527-b62c-a0566e7849a7,basic,expired,2025-12-31,2025-12-31,7.99
7cfc1333-4e66-43a6-ad85-354772756e36,674e6223-a372-4d77-a82c-ebc36bdd9b7b,basic,cancelled,2023-12-26,2024-06-29,7.99
379352cf-a2ca-4458-9ccc-b8db5e78ac7e,1288bc43-60cf-4b71-92ee-a789a73a0d16,standard,expired,2025-10-17,2025-12-06,13.99
e8b076bb-82c0-400c-89bb-08d1ebe89e73,7c1f5c9c-ecd1-44ea-ac53-4a98c4075349,basic,active,2024-12-18,,7.99
18a9d7ea-d306-468c-8203-f9d65942fbeb,4a1aedcf-5205-46a3-91cc-1468aabe0585,standard,active,2025-08-02,,13.99
55671fa0-254c-43a8-9f68-1a4402a3e402,31a1fcb1-fd09-4474-a4c2-205b0d90eb67,basic,cancelled,2025-07-02,2025-12-31,7.99
793d4b68-b72c-413d-8151-4eb4e1e07769,9e8ec8ea-5293-47c1-8082-66a0bc3a4cf2,basic,active,2025-11-26,,7.99
8eb602f4-5c36-4885-a959-b81bbe2671e5,54f2981f-904b-42d6-a49b-c62bd104ea1c,standard,active,2025-10-23,,13.99
02d18999-0075-4e71-83c5-0234035d7b4b,7e0cfbf5-85d4-4e13-854d-fd2f5003cd19,free_trial,cancelled,2023-07-10,2023-08-06,0.0
5bc8e81f-5dba-488b-a208-9d59947dbb78,afa8fe77-e5ac-4cf2-b9f1-c4f7800e4035,basic,active,2025-04-02,,7.99
9867b283-5c32-428e-a7d5-dc55fa27ed24,6f5ad187-8b4a-4102-8d9e-0b5abd55193b,free_trial,active,2025-06-04,,0.0
76a334d4-2357-4d0d-9d11-8e1df089debc,a03311c3-00f6-47a8-8bf5-29565b8a94be,basic,cancelled,2025-09-05,2025-12-15,7.99
61857e6a-69c6-4b1a-bc0a-85689b7cbdfc,aacedf6c-223b-47a7-93a2-fb950fd1f653,free_trial,expired,2025-07-02,2025-12-31,0.0
cdea2641-7178-4dcd-88a9-3f45ee521983,4b246928-ff71-42f6-bc88-52d574850a76,premium,active,2024-08-27,,19.99
86bdace2-cc7d-44ff-98ee-5cea88f1153d,1af90580-0ad8-46ea-8c4d-f247e37a9305,premium,cancelled,2025-11-28,2025-12-31,19.99
24dec0de-d54b-4c88-9948-f24feef08e7a,7503efe9-7820-4b24-b27b-3e85c29e67c7,standard,cancelled,2025-12-30,2025-12-31,13.99
56fb180f-edf8-4b47-9389-10ae11bd9204,2f352cd1-c755-4b68-b589-e02609ad0a21,basic,cancelled,2024-10-12,2024-12-10,7.99
953358e8-f07e-4a43-b2de-0d8161a7a3c0,8ffd8f23-ddc6-4529-bbff-c52e5fc72b24,basic,active,2024-06-18,,7.99
b4c35904-906a-4e19-95d6-35885362502a,8c13479e-866f-42f2-87f7-93bf93758757,free_trial,active,2025-11-09,,0.0
3bbc8b4e-2765-4cf1-9758-c9508e36d7b4,8b1d6351-26cf-4695-a2c3-f7665f8c0eb8,standard,active,2025-12-02,,13.99
5ce52fec-1abc-4f61-9c3a-a307be71211c,fbf124cc-d8da-4ffe-ad83-42b8508ec3fa,basic,active,2025-05-12,,7.99
936d21df-694c-4cd2-a2fc-47621da655a8,6ba771c3-4480-40bb-b7d6-b75bd7087163,standard,expired,2025-06-26,2025-12-31,13.99
d66a8646-cb95-4f18-a58f-d70028fd6469,4623f83f-5a7b-49a2-8f18-b611a863d68c,basic,active,2025-04-01,,7.99
24405828-795a-49b0-9efb-dfe1eb2dcfc1,5a71222f-e57c-4a96-9f80-42a32c62a077,basic,cancelled,2025-03-04,2025-12-07,7.99
090b7093-5d71-4174-8214-b80bc172a87b,f09b184f-537e-4575-84ba-b85ab14e3168,standard,active,2025-07-20,,13.99
d3794f05-88f6-4513-9b06-35f72e946b69,995182ca-f978-4e05-9c37-c21931d2183e,standard,active,2024-10-05,,13.99
0bf17887-70f7-4530-bd1e-c5c19bdbf6bb,73aaab35-f500-4523-a11d-d53bb3e33e7f,basic,cancelled,2025-07-30,2025-12-31,7.99
ec99f7e3-8be6-4ba0-a78e-167c0d3c1a56,a5df8d27-4f25-4191-b048-3fa182b18189,basic,active,2025-10-12,,7.99
82f8bc43-40b9-4d8e-9345-b9d2052891c3,404c8fcd-969e-436b-8604-1a93f31eedf3,basic,active,2025-10-20,,7.99
cb9490ac-af0a-4917-b43d-70d33e6a147b,aa3baa76-cd6a-4925-aed9-b7921998dfd8,basic,expired,2025-04-01,2025-08-12,7.99
fe77f89c-f29c-4055-be61-be3d0e2d1b70,b6d2f8a9-db7c-4cbf-afb2-2ea192339736,basic,active,2024-10-06,,7.99
e5da6693-4c80-4c27-95ba-c2b320156d3e,851cfcdd-ef9f-4f7f-be52-82d237ae4f5f,standard,cancelled,2025-04-02,2025-05-02,13.99
fa686a14-c984-4cb5-ae2f-f648543a7c1f,8ca8064a-1de1-40ac-a1d1-20aa39699d96,free_trial,active,2025-05-08,,0.0
e6a4016a-b8c2-428b-953b-82ff663cd465,6e244f3c-95c0-4995-87a7-f7f637d9dae6,free_trial,active,2025-09-10,,0.0
30ac4b7a-0803-44b3-ab80-491477860dfe,c4e29f02-7ad0-437c-8e8e-687f1df03dea,basic,active,2025-05-13,,7.99
bfe06428-b905-407c-9197-b1256ef5540e,0385d725-3123-431a-b8c2-46b23881ebd3,standard,active,2025-08-31,,13.99
d7c97659-3a1d-40ec-9ae5-13e4768499cb,f95d85e4-9bb3-4e87-adf4-d8770f12b900,basic,cancelled,2025-12-02,2025-12-31,7.99
3426dfb8-3192-4da3-9722-9372165fab2d,601ee597-e50c-4a61-b814-84acc7822900,basic,active,2025-11-24,,7.99
79f2c7c0-842d-4850-8a68-be6ef6d920e6,fe1aa63e-c8bb-42eb-ae11-3a37cb67cc04,free_trial,active,2025-12-30,,0.0
07844c13-19ac-4ade-a46a-468f6ca51bbe,fafaf7cd-7633-4567-a76e-df8ec6bdb87f,standard,expired,2025-08-08,2025-12-31,13.99
058c6978-e370-40d4-b7ad-25dea5be51da,c155c03a-35b9-49e7-a2d0-bf76a20263a8,premium,active,2024-02-24,,19.99
6dc89aa9-07ba-4eca-8858-6d8e3f24ffbb,cab17f19-0bb2-4e7a-b0de-ec6fa6a826c3,basic,active,2024-03-20,,7.99
20b52c53-a3e0-4d66-b813-23fb675b9c6b,46206d96-1573-41b6-9930-ccdccf8da792,basic,expired,2025-01-27,2025-10-11,7.99
6fa34f56-c088-4452-a453-dccd0550b613,05c431c7-a6ce-4b77-b5c7-aaa7f613785b,standard,active,2024-05-02,,13.99
d9013c85-268c-448c-b699-7a0ee7a82ceb,17dab25f-3b3f-484c-aa11-466d889122fc,free_trial,paused,2025-04-21,2025-12-31,0.0
302b0327-1014-4ae8-93a1-b1bd46d0c38e,b9a535ed-a850-4d77-9f66-69058f2560f5,free_trial,expired,2024-09-09,2024-11-26,0.0
c877b3b7-04aa-49e8-aacf-fe508aad4c83,2d3dbc88-2fe1-4657-a1d6-b46b68b7d282,basic,expired,2025-12-24,2025-12-31,7.99
f47ca655-0150-47a8-8efd-5e1aea11f9b4,5c9c7ada-5d86-491b-ad0d-cec60cf456c7,basic,expired,2025-03-18,2025-08-07,7.99
9dfd9848-1e2c-4718-b187-a6e04f584fee,697acf71-c1b6-47be-9719-1b6d1c67c23b,free_trial,active,2025-11-11,,0.0
5cf11768-bc06-48b9-8e9d-d0b118728b6d,b8dd6dfd-b329-4885-a6d9-a080ef48543e,basic,cancelled,2024-10-18,2025-04-15,7.99
a4367e5b-ae8d-4a43-928a-a6515ea49b2a,b6131722-7cbe-4f7c-8d3a-dfe3a5dd4050,basic,active,2025-07-09,,7.99
f145faf2-75bc-4dcb-a47f-1a76a60016a7,781eea9e-b434-422c-8876-59b4c095c266,basic,cancelled,2024-02-04,2024-10-07,7.99
dc69a1b6-90f5-4b11-b55e-8c8a4dbbbead,b4474b8b-d8cf-4035-86c1-8dbf105e4e07,standard,expired,2025-12-17,2025-12-31,13.99
8491e4ef-1c25-4f28-b941-08f205708c58,c8e11a59-f727-4a81-9192-08e9230d68b8,premium,active,2025-12-30,,19.99
d7134532-9055-450d-8e5e-ff62a5c2b443,659a7c1f-5c1b-4412-9042-e635cc78d445,free_trial,active,2025-09-26,,0.0
9878f8cb-2275-4954-b44d-67871c535ee8,dd7873ef-d455-45ba-a317-385bff4e8194,basic,cancelled,2025-09-18,2025-12-31,7.99
e5b97ce8-fe9d-4fb4-91a5-830ab71e1c43,d0fabc12-e9cd-477a-9539-341f6371542a,standard,cancelled,2025-05-22,2025-07-09,13.99
dfb91507-1963-4b1a-b479-d9fa2cbdb5fd,4976d66e-2cd1-4b81-b147-339bcd9d1b08,standard,expired,2023-09-29,2024-01-24,13.99
dc2348e2-c899-47e3-9518-d62a748f8bb9,2a4bfcaa-3e27-4a48-8156-1b60a113d86f,basic,cancelled,2023-11-10,2024-06-09,7.99
cc35223d-4742-4a06-955f-0e518d9a1464,6b1b463d-7e18-414d-af8b-9ac14a38959e,basic,active,2025-11-17,,7.99
24ee065f-8e65-4c22-b5ab-f98bfc07e2fe,4e25568d-899c-41a1-84e4-8686da04fb96,basic,paused,2024-06-10,2024-10-08,7.99
f06cb587-31db-467f-8efa-bd240a598ca3,20a1c438-8076-4094-a888-4661b8e5e3ac,basic,cancelled,2025-12-17,2025-12-31,7.99
af8bb188-477a-47dc-ad56-c556f86a281b,f40afd92-9213-415e-9bb0-94ec249c7aa4,basic,expired,2025-05-26,2025-07-08,7.99
73fb3230-116b-414e-83bc-8682d1c4f11b,3a7546e2-0184-4510-bb33-18ba768c0f69,standard,expired,2023-05-28,2023-07-20,13.99
0f79aed8-074e-413f-a458-1958c1cc25a2,c112359e-e68f-4158-a651-2c2d1d844b71,basic,active,2024-12-10,,7.99
7dc57803-000e-41c8-9332-4584ea6a298e,46298eb6-845a-429e-a21e-7d76cdfb2424,standard,cancelled,2025-03-12,2025-07-31,13.99
2c375974-ebcf-485b-9ae9-d2eb498fe7ff,9985c5b6-b84e-4f79-abaa-ed0be6ec2f80,standard,expired,2024-05-25,2025-01-06,13.99
